# Job,Month,RedTimeDays,AverageBuildTimeMinutes,JobUrl
push-jobs-client-trigger-ad_hoc,2016-04,12.95,89.35,http://manhattan.ci.chef.co/job/push-jobs-client-trigger-ad_hoc/
push-jobs-client-trigger-ad_hoc,2016-05,0.86,51.30,http://manhattan.ci.chef.co/job/push-jobs-client-trigger-ad_hoc/
push-jobs-client-trigger-ad_hoc,2016-06,0.00,0.00,http://manhattan.ci.chef.co/job/push-jobs-client-trigger-ad_hoc/
push-jobs-client-trigger-ad_hoc,2016-07,0.00,70.97,http://manhattan.ci.chef.co/job/push-jobs-client-trigger-ad_hoc/
push-jobs-client-trigger-git_poll,2015-12,15.90,0.00,http://manhattan.ci.chef.co/job/push-jobs-client-trigger-git_poll/
push-jobs-client-trigger-git_poll,2016-01,30.00,0.00,http://manhattan.ci.chef.co/job/push-jobs-client-trigger-git_poll/
push-jobs-client-trigger-git_poll,2016-02,25.86,41.97,http://manhattan.ci.chef.co/job/push-jobs-client-trigger-git_poll/
push-jobs-client-trigger-git_poll,2016-03,0.00,0.00,http://manhattan.ci.chef.co/job/push-jobs-client-trigger-git_poll/
push-jobs-client-trigger-git_poll,2016-04,0.35,85.43,http://manhattan.ci.chef.co/job/push-jobs-client-trigger-git_poll/
push-jobs-client-trigger-git_poll,2016-05,0.00,60.65,http://manhattan.ci.chef.co/job/push-jobs-client-trigger-git_poll/
push-jobs-client-trigger-git_poll,2016-06,0.00,0.00,http://manhattan.ci.chef.co/job/push-jobs-client-trigger-git_poll/
push-jobs-client-trigger-git_poll,2016-07,0.00,8.39,http://manhattan.ci.chef.co/job/push-jobs-client-trigger-git_poll/
push-jobs-client-trigger-nightly-master,2016-04,2.67,-109351.65,http://manhattan.ci.chef.co/job/push-jobs-client-trigger-nightly-master/
push-jobs-client-trigger-nightly-master,2016-05,9.02,69.25,http://manhattan.ci.chef.co/job/push-jobs-client-trigger-nightly-master/
push-jobs-client-trigger-nightly-master,2016-06,11.66,48.37,http://manhattan.ci.chef.co/job/push-jobs-client-trigger-nightly-master/
push-jobs-client-trigger-nightly-master,2016-07,19.37,330.16,http://manhattan.ci.chef.co/job/push-jobs-client-trigger-nightly-master/
push-jobs-client-trigger-release,2016-02,4.10,0.00,http://manhattan.ci.chef.co/job/push-jobs-client-trigger-release/
push-jobs-client-trigger-release,2016-03,30.00,0.00,http://manhattan.ci.chef.co/job/push-jobs-client-trigger-release/
push-jobs-client-trigger-release,2016-04,29.00,0.00,http://manhattan.ci.chef.co/job/push-jobs-client-trigger-release/
push-jobs-client-trigger-release,2016-05,16.80,10.28,http://manhattan.ci.chef.co/job/push-jobs-client-trigger-release/
push-jobs-client-trigger-release,2016-06,0.00,0.00,http://manhattan.ci.chef.co/job/push-jobs-client-trigger-release/
push-jobs-client-trigger-release,2016-07,0.00,0.00,http://manhattan.ci.chef.co/job/push-jobs-client-trigger-release/
chef-analytics-build,2016-05,4.05,0.00,http://wilson.ci.chef.co/job/chef-analytics-build/
chef-analytics-build,2016-06,29.00,0.00,http://wilson.ci.chef.co/job/chef-analytics-build/
chef-analytics-build,2016-07,28.11,0.00,http://wilson.ci.chef.co/job/chef-analytics-build/
chef-analytics-trigger-ad_hoc,2015-12,0.14,47.10,http://wilson.ci.chef.co/job/chef-analytics-trigger-ad_hoc/
chef-analytics-trigger-ad_hoc,2016-01,1.22,91.86,http://wilson.ci.chef.co/job/chef-analytics-trigger-ad_hoc/
chef-analytics-trigger-ad_hoc,2016-02,14.38,68.75,http://wilson.ci.chef.co/job/chef-analytics-trigger-ad_hoc/
chef-analytics-trigger-ad_hoc,2016-03,7.93,79.67,http://wilson.ci.chef.co/job/chef-analytics-trigger-ad_hoc/
chef-analytics-trigger-ad_hoc,2016-04,14.77,68.73,http://wilson.ci.chef.co/job/chef-analytics-trigger-ad_hoc/
chef-analytics-trigger-ad_hoc,2016-05,7.05,67.92,http://wilson.ci.chef.co/job/chef-analytics-trigger-ad_hoc/
chef-analytics-trigger-ad_hoc,2016-06,13.18,80.76,http://wilson.ci.chef.co/job/chef-analytics-trigger-ad_hoc/
chef-analytics-trigger-ad_hoc,2016-07,0.00,0.00,http://wilson.ci.chef.co/job/chef-analytics-trigger-ad_hoc/
chef-analytics-trigger-git_poll,2015-12,9.28,69.33,http://wilson.ci.chef.co/job/chef-analytics-trigger-git_poll/
chef-analytics-trigger-git_poll,2016-01,27.33,82.62,http://wilson.ci.chef.co/job/chef-analytics-trigger-git_poll/
chef-analytics-trigger-git_poll,2016-02,4.99,64.37,http://wilson.ci.chef.co/job/chef-analytics-trigger-git_poll/
chef-analytics-trigger-git_poll,2016-03,20.92,70.37,http://wilson.ci.chef.co/job/chef-analytics-trigger-git_poll/
chef-analytics-trigger-git_poll,2016-04,6.79,100.68,http://wilson.ci.chef.co/job/chef-analytics-trigger-git_poll/
